location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
Outskirts,Penthouse,1447,5,3,21,excellent,8,60,13552
Suburbs,Villa,564,2,3,39,average,8,39,7528
Outskirts,Apartment,2239,2,3,0,excellent,9,89,11676
Commercial Area,Penthouse,5160,5,1,39,average,3,77,25271
Outskirts,Studio,832,1,2,9,poor,3,6,5302
Suburbs,Apartment,1770,6,3,21,average,8,62,16540
Commercial Area,Penthouse,2466,2,1,27,average,5,95,11312
Outskirts,House,5462,4,2,20,average,6,78,22011
Commercial Area,Apartment,3517,2,3,31,poor,3,16,17081
Outskirts,Studio,3494,2,1,6,average,2,30,11321
City Center,Penthouse,4436,1,1,13,excellent,4,81,10962
Commercial Area,Penthouse,2647,4,4,0,poor,8,73,17666
Commercial Area,Apartment,5854,4,4,31,good,6,5,25326
Commercial Area,House,2701,4,1,26,poor,2,26,13556
Commercial Area,Penthouse,1872,4,2,3,excellent,2,18,10446
Outskirts,Penthouse,4454,6,2,30,good,6,81,21728
Near Park,House,5716,2,3,39,excellent,1,32,17394
Outskirts,Studio,4549,4,4,2,poor,3,93,18876
Suburbs,Apartment,1612,5,4,2,good,4,65,16017
City Center,Apartment,5092,3,1,11,poor,4,91,23579
Outskirts,Apartment,4815,3,1,5,good,4,15,18544
Outskirts,Villa,2104,5,2,24,poor,1,81,14236
Commercial Area,Apartment,2454,2,2,7,poor,5,10,12984
Suburbs,House,2401,5,2,13,good,1,59,13022
Commercial Area,Apartment,5133,1,3,36,good,6,89,16409
Commercial Area,Studio,2594,6,2,1,excellent,7,62,18499
Near Park,Villa,2194,6,3,13,poor,7,8,14727
City Center,House,520,2,2,31,average,9,75,7053
Near Park,House,4991,1,3,9,poor,0,49,15950
Commercial Area,Studio,4802,3,3,18,poor,0,55,16033
City Center,Apartment,2795,4,4,22,excellent,8,48,14317
Outskirts,Villa,3840,6,2,34,average,0,14,16463
Suburbs,Villa,4180,6,3,26,average,2,4,18625
Near Park,Villa,782,1,1,17,excellent,4,59,5808
Suburbs,House,4693,3,1,12,excellent,5,9,14346
Commercial Area,Studio,4294,1,3,30,excellent,8,22,17445
City Center,House,3133,2,2,16,poor,1,4,11542
Outskirts,Apartment,4928,2,2,9,poor,2,90,20026
City Center,Penthouse,1037,4,2,7,good,8,28,9750
Suburbs,Villa,4452,2,3,39,average,5,71,16807
Suburbs,Villa,1102,2,4,19,poor,5,69,10725
Outskirts,Villa,1911,6,1,26,average,9,45,15488
Outskirts,House,2664,1,4,16,excellent,7,92,11843
City Center,Villa,4847,3,2,16,good,7,63,19282
Near Park,Villa,2959,1,4,4,good,8,72,15699
City Center,Penthouse,5888,1,2,14,excellent,3,76,22332
Suburbs,Studio,430,4,4,26,excellent,4,47,10430
City Center,Apartment,748,1,1,31,good,9,85,7458
Commercial Area,House,1068,2,2,34,excellent,9,36,8296
City Center,Apartment,4579,6,4,29,average,3,59,18393
City Center,Studio,4048,6,1,24,excellent,9,88,25866
Commercial Area,Apartment,4893,2,2,4,excellent,7,46,15398
Suburbs,House,5923,2,2,37,good,9,28,22252
Outskirts,Penthouse,2099,3,3,7,excellent,8,19,12928
City Center,Apartment,2002,6,1,10,good,2,50,12819
Near Park,Studio,4315,4,3,4,average,7,31,16450
Outskirts,House,5941,2,1,37,poor,5,63,24816
Near Park,Studio,5789,4,2,9,average,3,13,19115
City Center,Apartment,1620,5,2,14,excellent,1,46,13450
Near Park,House,4470,2,4,9,poor,0,62,13981
Outskirts,Apartment,2294,6,3,16,average,7,34,14974
Near Park,Villa,2964,2,4,26,good,7,33,12811
Near Park,House,1485,1,2,33,poor,6,58,8824
Outskirts,Apartment,645,6,1,18,poor,2,18,10256
Outskirts,House,3609,5,4,22,average,8,2,17598
Outskirts,Penthouse,5483,2,1,6,good,7,40,23413
Outskirts,Villa,4528,5,3,14,average,5,62,20913
Commercial Area,Studio,4675,4,2,39,good,3,97,19198
City Center,Apartment,1520,6,3,33,excellent,3,1,12025
Outskirts,Studio,4643,4,1,4,excellent,4,34,18728
Suburbs,Apartment,1441,6,4,9,good,2,54,14410
Near Park,House,4020,2,1,17,excellent,5,99,13624
Outskirts,Studio,1490,6,4,17,average,7,36,14450
Outskirts,Villa,3430,1,3,23,good,6,83,10762
City Center,Apartment,3780,6,2,26,poor,4,90,20364
Outskirts,Studio,1921,3,1,18,poor,8,89,13787
Commercial Area,Apartment,4296,1,1,17,average,9,69,14849
Suburbs,Penthouse,1300,6,3,0,average,4,78,14518
Suburbs,Penthouse,2173,6,4,31,average,9,80,19765
Outskirts,Studio,3978,6,1,11,average,4,27,15848
City Center,Penthouse,4565,3,4,29,poor,4,61,18887
Outskirts,Villa,1727,2,4,5,excellent,3,6,10951
Near Park,Studio,4880,6,4,7,excellent,8,22,22837
Suburbs,House,1194,6,1,16,average,1,25,11562
Near Park,Studio,1037,6,1,21,good,3,78,11628
Commercial Area,House,3379,2,1,20,good,8,83,12550
Suburbs,Penthouse,3616,6,3,3,good,4,22,19302
Suburbs,Studio,4667,2,4,23,excellent,7,93,18513
Commercial Area,Villa,500,2,1,16,excellent,9,38,6675
Near Park,Penthouse,2192,2,3,31,excellent,2,24,8560
Outskirts,Penthouse,3224,1,1,27,poor,0,81,9161
City Center,Penthouse,1863,4,2,33,good,0,43,11624
Near Park,House,3996,1,3,11,average,7,57,19087
Commercial Area,House,4095,4,1,5,excellent,9,58,14803
Commercial Area,Villa,537,2,3,21,good,0,12,5560
Commercial Area,House,1781,5,1,39,good,8,68,12736
Suburbs,Apartment,4658,3,1,12,average,1,49,12972
Outskirts,Apartment,5783,3,3,38,excellent,9,78,17215
Suburbs,Studio,4057,1,1,8,excellent,8,54,11573
Suburbs,Penthouse,2364,6,2,3,excellent,2,39,16580
Suburbs,Apartment,4131,4,1,37,average,7,32,19431
Commercial Area,House,5128,4,3,22,excellent,4,25,18971
Near Park,Villa,2762,4,4,8,average,9,56,18544
City Center,House,3869,4,4,32,good,0,74,20448
City Center,Penthouse,1562,2,3,29,good,4,56,10054
Outskirts,Penthouse,642,5,3,39,excellent,8,30,11379
Outskirts,Apartment,5645,3,2,13,average,9,69,20085
Commercial Area,Apartment,5770,3,3,3,average,5,14,18514
City Center,House,4921,1,2,0,average,4,82,19625
Near Park,Studio,3061,5,4,6,average,2,42,18583
Commercial Area,House,3326,6,3,15,excellent,1,6,18758
Outskirts,Apartment,4065,5,3,21,average,7,26,16882
Commercial Area,Studio,2285,1,4,25,poor,6,13,11049
Outskirts,Studio,3552,6,4,22,good,9,17,19944
City Center,Apartment,2491,5,3,35,average,2,78,17487
Commercial Area,House,5216,6,3,21,average,9,16,22518
Suburbs,Villa,3109,1,3,3,excellent,5,73,14905
Outskirts,Apartment,5793,4,1,21,good,2,14,15016
Suburbs,House,4505,1,2,30,poor,0,13,10332
Outskirts,Villa,2839,6,1,12,average,7,12,17917
Suburbs,Penthouse,1824,5,4,7,average,0,75,13812
City Center,Penthouse,3571,6,4,35,good,8,70,25122
City Center,Penthouse,3974,5,3,2,poor,8,56,17024
Near Park,Villa,2660,4,3,36,poor,9,36,15917
Near Park,Studio,2180,3,2,29,poor,4,16,13083
Near Park,Penthouse,4818,3,2,13,poor,6,48,17409
Commercial Area,Penthouse,4152,5,2,20,poor,6,31,15168
Outskirts,Studio,1024,2,4,1,excellent,9,59,11462
Commercial Area,Villa,4585,3,2,0,average,5,99,21360
Near Park,Villa,2760,3,3,2,good,4,24,17012
Outskirts,Studio,3519,2,4,24,excellent,5,82,17100
Commercial Area,Apartment,2978,6,4,27,excellent,1,18,16720
City Center,Studio,3499,5,3,27,excellent,3,40,14559
Outskirts,House,3657,3,4,14,good,8,94,17041
Near Park,House,3166,6,4,39,average,3,74,19103
City Center,Apartment,4543,4,2,36,excellent,8,88,24130
Outskirts,Apartment,3153,2,3,4,good,9,62,13051
Commercial Area,House,5939,4,1,28,average,7,3,22422
Near Park,Studio,3491,6,1,12,excellent,5,26,19405
Commercial Area,Villa,1260,6,1,35,average,4,47,12957
City Center,House,2993,2,1,32,poor,5,57,10233
City Center,Studio,2519,3,3,7,average,6,48,15251
City Center,House,428,6,4,17,average,0,69,12074
Outskirts,Villa,3928,1,3,0,good,2,93,17549
Near Park,House,377,5,1,33,average,2,49,8407
City Center,House,4783,5,1,14,poor,8,65,19268
Commercial Area,Villa,1622,3,4,37,excellent,7,27,12368
Near Park,Penthouse,778,1,4,11,good,4,68,8234
Commercial Area,House,3717,2,2,31,excellent,6,17,15012
Commercial Area,House,567,2,2,4,poor,9,11,6689
City Center,House,1533,6,4,24,excellent,0,44,13747
Near Park,Apartment,3855,4,4,22,poor,2,50,19145
Suburbs,Apartment,1105,5,2,20,poor,3,69,14267
Outskirts,Villa,1430,4,1,0,good,3,39,11547
Suburbs,Studio,1004,1,2,20,good,6,84,7539
Outskirts,Apartment,1150,3,1,5,average,2,5,7509
Near Park,Villa,3621,2,3,26,average,4,86,14726
City Center,Apartment,4256,2,1,13,average,7,23,15460
Near Park,Studio,466,1,4,12,good,7,17,5999
Suburbs,Apartment,4511,2,2,29,good,1,39,14200
Commercial Area,Penthouse,5338,6,4,36,good,1,49,29749
Outskirts,Studio,624,3,1,21,poor,2,80,7495
Outskirts,Studio,1152,6,3,5,average,3,19,13701
Suburbs,Apartment,4562,1,1,25,average,5,93,12008
City Center,Apartment,5091,5,1,22,average,1,91,25239
Near Park,House,4054,4,1,23,average,9,89,15644
Suburbs,House,1371,5,1,17,good,7,97,14668
Near Park,Studio,339,2,3,21,good,5,61,7285
City Center,House,842,4,4,6,poor,7,72,12550
Commercial Area,House,1957,2,4,29,excellent,8,74,12096
Near Park,House,2406,6,2,36,excellent,7,35,15247
City Center,Penthouse,3824,5,4,28,excellent,5,47,17067
Suburbs,House,2376,5,1,15,poor,4,3,12363
Commercial Area,House,4162,1,2,28,excellent,2,50,9739
Commercial Area,Penthouse,2961,2,1,15,poor,0,42,13277
Commercial Area,Apartment,2035,4,4,2,average,9,87,14773
Outskirts,Studio,3580,1,3,9,average,1,79,16262
City Center,Villa,779,1,1,35,excellent,2,62,5616
Near Park,Apartment,3988,5,3,7,excellent,8,72,20565
Suburbs,Penthouse,4379,3,1,37,average,1,80,14512
Commercial Area,Penthouse,5797,2,3,28,excellent,4,74,18649
Commercial Area,Studio,1832,5,4,6,poor,9,76,16809
Commercial Area,House,895,2,1,6,average,9,85,8814
City Center,Villa,3581,3,2,36,good,0,58,17030
Suburbs,Villa,5050,6,4,24,poor,7,36,20180
City Center,Villa,4690,5,4,33,average,9,51,22784
Suburbs,Apartment,851,3,3,36,average,7,96,10177
Near Park,Penthouse,5809,3,1,18,good,0,43,21835
Outskirts,Villa,2830,6,3,31,excellent,0,89,18183
Suburbs,Villa,4156,5,4,24,good,9,45,19507
City Center,House,3257,5,2,2,poor,4,27,19105
City Center,Apartment,4275,3,3,25,poor,0,22,17559
City Center,Penthouse,4979,2,1,35,good,6,32,20188
Outskirts,Studio,3020,4,4,34,poor,0,3,13694
Suburbs,House,3144,5,2,28,average,4,60,19490
Suburbs,House,4159,1,2,29,excellent,1,85,12832
Suburbs,House,4315,3,3,20,excellent,1,74,16116
Suburbs,Villa,5051,4,4,22,good,4,90,19701
Commercial Area,Studio,2786,4,1,10,good,5,59,15562
Commercial Area,Apartment,536,4,4,2,poor,4,85,10105
City Center,Penthouse,4283,6,4,37,good,8,88,22547
Commercial Area,Apartment,5956,3,4,12,average,3,4,27252
Suburbs,House,2768,4,2,27,excellent,7,94,15104
Suburbs,Studio,2477,6,4,34,average,5,52,18032
Commercial Area,Apartment,2711,4,4,16,average,6,32,17232
Near Park,Apartment,625,5,3,14,good,1,98,12368
City Center,House,3562,4,3,8,excellent,9,33,21747
Outskirts,House,1638,4,3,30,good,0,81,11805
City Center,Apartment,3810,2,1,3,poor,2,31,15040
City Center,Apartment,1609,2,4,26,good,6,78,12134
City Center,Villa,1931,5,4,36,good,9,17,15702
Commercial Area,Studio,2565,3,3,14,average,4,11,11657
City Center,House,4374,4,4,18,excellent,3,16,15881
Suburbs,Penthouse,2868,5,1,28,good,7,82,14706
City Center,Penthouse,1648,1,1,2,good,8,89,8999
Suburbs,House,5611,1,3,6,good,8,56,20990
Commercial Area,Studio,3847,5,2,30,good,5,90,19872
Commercial Area,Penthouse,5468,2,1,23,average,2,51,14486
City Center,Villa,4330,3,2,15,excellent,9,23,14852
Suburbs,House,3718,1,4,29,poor,4,16,12599
Suburbs,Penthouse,4564,6,2,4,good,0,27,18468
Suburbs,Penthouse,1113,2,2,21,average,4,30,8088
Suburbs,House,5615,2,4,15,poor,6,27,22411
Outskirts,Studio,1500,1,3,14,good,6,3,7938
Commercial Area,House,828,4,1,36,average,4,98,8766
Suburbs,Apartment,5677,5,2,22,poor,6,38,19112
Outskirts,Penthouse,3437,1,2,26,average,9,65,13651
Outskirts,Apartment,1407,3,3,10,average,9,27,9822
Commercial Area,Studio,1164,2,1,10,excellent,2,70,6012
Near Park,Apartment,627,6,3,18,average,9,55,12252
City Center,Studio,2483,5,2,10,excellent,7,34,18274
Commercial Area,House,1620,2,1,39,good,3,96,8938
Near Park,Villa,5126,1,4,35,excellent,7,96,17381
City Center,Villa,5772,1,4,27,average,6,93,20286
City Center,House,1669,1,3,23,good,2,26,7789
City Center,Penthouse,1695,3,2,35,excellent,3,21,9070
Outskirts,Studio,3324,5,1,10,excellent,2,50,20314
Suburbs,Apartment,4128,1,1,18,poor,2,62,14181
City Center,Villa,4341,2,2,23,average,2,96,19745
Suburbs,Apartment,1391,3,3,26,poor,0,8,8753
City Center,Apartment,1100,3,1,13,average,9,10,8652
Outskirts,Apartment,4034,4,2,24,poor,5,77,20631
City Center,Penthouse,2689,1,1,17,excellent,2,79,9046
Commercial Area,Villa,3616,3,4,18,good,1,72,19539
Near Park,Apartment,2820,3,2,19,good,0,7,13017
City Center,Apartment,1436,5,1,4,average,0,24,11985
Near Park,Villa,3325,5,1,21,excellent,7,52,16007
Near Park,Apartment,4203,1,1,25,average,7,94,13037
Outskirts,Studio,2899,2,1,19,excellent,8,77,15053
Near Park,Villa,2347,2,1,20,poor,7,3,12407
Outskirts,Apartment,4618,3,1,29,good,5,46,17687
City Center,Penthouse,2196,2,4,18,average,2,7,13178
Suburbs,Studio,741,4,4,0,excellent,2,54,10182
Outskirts,House,3543,4,2,36,average,9,7,14690
Near Park,Penthouse,718,5,3,1,good,0,69,11843
Near Park,House,4587,4,4,28,good,0,31,16875
City Center,House,3339,3,4,16,good,7,20,13829
Outskirts,Apartment,5791,1,4,1,poor,3,82,23293
City Center,Studio,5366,6,1,3,good,3,47,18961
Outskirts,Apartment,1720,1,1,36,average,3,25,6807
Suburbs,Penthouse,4390,4,2,4,poor,4,41,15058
Commercial Area,House,1398,5,1,4,good,6,73,14163
City Center,Apartment,1154,3,1,32,good,6,93,9359
Near Park,Penthouse,4156,5,2,38,good,2,16,13458
City Center,Penthouse,910,2,4,5,excellent,0,16,9506
Outskirts,House,5755,4,1,13,good,9,42,25015
City Center,Apartment,5887,1,4,32,excellent,7,39,19247
Suburbs,Studio,2125,2,4,29,poor,1,4,10280
Outskirts,Penthouse,1374,5,4,28,average,0,26,13089
Near Park,Apartment,2966,2,1,6,good,6,49,13963
Near Park,Studio,4322,6,2,0,average,5,97,25886
Outskirts,House,2602,4,1,35,good,0,82,16573
Suburbs,Studio,4098,6,2,16,average,3,85,22651
City Center,House,5715,3,4,17,average,4,12,20131
Commercial Area,Penthouse,2738,5,1,23,poor,7,76,15237
Near Park,Villa,4094,6,2,28,good,2,2,14843
Suburbs,Villa,5839,1,4,17,excellent,2,13,21160
Suburbs,Penthouse,5565,4,2,0,poor,8,12,20756
Suburbs,Studio,5143,5,1,7,good,5,52,25173
City Center,Villa,2035,6,4,10,average,9,30,17356
Suburbs,House,1946,2,1,27,good,5,86,10446
Suburbs,Penthouse,4629,2,1,35,excellent,4,83,13550
Outskirts,Apartment,3089,6,3,8,good,0,84,17524
Outskirts,Villa,458,1,4,32,excellent,1,35,4301
Suburbs,Studio,4882,6,4,31,excellent,1,7,21168
Suburbs,Penthouse,5346,1,3,19,average,1,4,14103
Outskirts,Villa,4382,1,4,10,good,6,15,14389
City Center,Villa,1020,3,2,8,poor,7,62,9842
Outskirts,Penthouse,3971,1,2,38,poor,8,89,17668
Outskirts,Apartment,1937,1,2,26,average,5,58,10642
Outskirts,Penthouse,5352,1,2,8,good,0,6,13735
Outskirts,Apartment,4290,1,3,26,excellent,4,99,17584
Commercial Area,Penthouse,838,2,4,8,good,4,57,9556
Near Park,House,3156,5,3,31,poor,0,77,18476
City Center,House,1474,1,2,0,good,9,94,10441
City Center,Penthouse,5158,3,1,36,poor,7,83,23338
Suburbs,Apartment,3832,2,4,16,poor,2,54,13785
Commercial Area,Villa,2366,2,1,14,good,1,40,10864
Suburbs,Penthouse,5385,3,4,28,poor,7,49,25185
City Center,Villa,3762,4,1,18,average,6,89,18029
City Center,Penthouse,4487,5,1,39,poor,3,64,22266
Suburbs,Studio,1691,5,1,29,good,0,27,10304
Near Park,Apartment,2214,1,4,26,average,9,35,11131
Suburbs,Studio,3993,1,3,10,average,8,90,19050
Near Park,Studio,4626,1,4,28,excellent,6,4,19815
Near Park,Apartment,2138,2,3,36,average,3,83,10890
Outskirts,Penthouse,452,1,3,10,good,5,53,7040
City Center,Apartment,514,2,2,14,average,5,84,8409
Outskirts,Apartment,5387,3,2,20,good,3,61,14654
City Center,House,2331,6,1,6,average,3,69,16690
Outskirts,House,2872,2,4,15,average,6,51,13109
Near Park,Villa,3621,2,4,1,excellent,7,37,19237
Outskirts,Apartment,2022,5,3,17,good,9,78,13686
Commercial Area,Studio,3808,6,3,39,excellent,6,14,19607
Outskirts,Studio,427,3,2,0,excellent,4,15,7799
Outskirts,House,3921,4,2,37,poor,4,85,15404
Outskirts,Apartment,1466,1,2,18,average,5,99,9589
Commercial Area,Penthouse,3707,3,4,31,poor,5,79,19387
City Center,House,1622,4,2,13,poor,8,39,13482
Outskirts,House,5161,2,2,27,excellent,7,1,19564
City Center,Studio,5794,4,1,27,excellent,3,59,22995
Suburbs,Penthouse,4184,5,2,5,good,7,88,22508
Near Park,Penthouse,5534,2,4,5,good,4,25,18150
Suburbs,Studio,4176,5,1,17,poor,7,31,17555
Commercial Area,Studio,1100,3,2,25,excellent,0,27,8250
Commercial Area,Studio,579,5,4,29,excellent,7,13,10962
City Center,Penthouse,5295,4,1,1,poor,8,53,23387
City Center,Penthouse,4908,2,2,22,good,1,61,17331
Outskirts,House,874,2,3,14,excellent,5,57,7701
Suburbs,Villa,5707,2,2,39,poor,4,58,15094
City Center,House,5356,4,1,29,excellent,3,42,22211
City Center,Apartment,4062,4,2,14,excellent,2,24,15402
City Center,Villa,5557,5,4,33,excellent,9,90,23151
Near Park,Penthouse,5785,2,1,23,average,4,57,23087
City Center,House,3904,5,1,26,poor,8,5,20964
Near Park,Penthouse,3386,2,2,30,average,0,23,13875
Commercial Area,Villa,5848,6,2,9,excellent,4,87,26883
Outskirts,Penthouse,1076,2,2,1,average,5,5,6697
Suburbs,House,2375,3,3,29,good,7,86,15203
City Center,Villa,5637,3,4,37,good,8,83,28095
Near Park,House,4312,2,4,28,excellent,9,53,22364
City Center,House,5595,3,2,17,average,8,46,19023
City Center,Penthouse,4760,1,4,16,average,0,69,21206
Near Park,Villa,3095,2,3,25,good,1,19,9839
City Center,Penthouse,3993,2,1,18,average,7,14,15856
Suburbs,Villa,1236,5,4,23,good,2,55,14621
Commercial Area,Apartment,3910,1,4,22,poor,0,23,16882
Outskirts,Apartment,3986,1,1,8,excellent,4,25,10301
City Center,Villa,5951,1,3,13,good,8,15,14346
Near Park,Penthouse,458,6,4,18,excellent,2,85,11733
Suburbs,Studio,695,2,1,2,average,3,61,6745
City Center,Villa,3076,1,4,12,poor,9,51,13394
Commercial Area,House,3213,4,2,14,poor,8,41,16544
Commercial Area,Apartment,4193,3,2,4,good,9,46,15712
Near Park,Villa,3222,1,1,7,poor,0,88,13154
City Center,Villa,5468,1,3,17,excellent,4,28,14377
City Center,Villa,2771,3,3,38,average,4,75,14810
City Center,House,4699,5,2,26,excellent,8,92,25256
Commercial Area,Penthouse,4773,4,2,24,excellent,6,84,17290
City Center,Studio,903,6,1,31,excellent,2,84,12906
City Center,House,3461,5,2,11,average,5,21,19424
City Center,Studio,3341,3,4,5,poor,5,13,14553
City Center,Apartment,1611,5,1,0,average,9,95,14120
Near Park,Studio,4977,3,4,12,excellent,7,17,21162
Commercial Area,Studio,1454,2,4,3,poor,8,17,12413
Outskirts,Apartment,449,5,1,10,average,1,7,9436
Near Park,House,4475,2,2,35,excellent,8,17,19900
City Center,House,2130,6,1,12,excellent,5,49,16828
Outskirts,Apartment,5458,6,3,24,excellent,3,22,25104
Suburbs,House,750,4,3,33,poor,2,19,9206
Outskirts,Penthouse,1374,2,1,3,average,0,83,7771
Near Park,Studio,4184,5,2,37,excellent,8,79,18475
Commercial Area,House,5311,6,4,32,excellent,9,81,26737
Near Park,Studio,3101,3,4,15,average,4,63,19906
Commercial Area,House,818,3,1,8,good,9,64,8123
Commercial Area,Studio,4720,1,3,37,excellent,9,83,20400
Commercial Area,Apartment,4628,6,1,27,average,5,38,23767
Suburbs,Apartment,3556,4,2,5,poor,4,51,13156
Outskirts,Apartment,3483,4,3,21,excellent,5,30,18031
Near Park,Penthouse,472,5,4,32,poor,2,31,11339
Near Park,Penthouse,1495,5,4,24,poor,3,6,14406
Commercial Area,Apartment,5813,2,1,18,average,9,93,25680
Suburbs,Studio,1951,6,4,27,excellent,4,53,17274
Suburbs,Apartment,1424,3,4,3,excellent,1,31,9684
City Center,Apartment,1288,3,3,32,average,9,71,10381
Suburbs,Villa,1740,3,4,39,poor,2,86,12149
Commercial Area,Penthouse,5291,6,3,36,good,1,93,30072
Commercial Area,Penthouse,2368,3,2,0,excellent,2,69,11669
Outskirts,Apartment,5303,2,2,26,good,9,17,14172
Commercial Area,Apartment,1229,2,1,7,excellent,4,62,6341
Outskirts,Villa,3804,6,3,27,poor,3,57,20803
Suburbs,Villa,3673,6,2,23,poor,0,80,18433
City Center,Penthouse,5481,1,3,6,excellent,7,52,21141
Near Park,Penthouse,5149,1,2,24,average,6,84,15780
Commercial Area,Penthouse,4507,1,2,32,excellent,4,86,15564
Suburbs,Penthouse,2875,4,3,29,average,6,38,14553
Commercial Area,Studio,5605,2,2,21,good,3,53,21432
Outskirts,Apartment,3342,1,3,20,excellent,1,45,11133
Suburbs,Studio,4185,2,3,6,excellent,3,69,22010
Near Park,House,4871,5,1,16,good,0,81,15717
Outskirts,Penthouse,5523,1,3,12,poor,7,93,16981
Suburbs,Penthouse,911,3,3,14,excellent,6,5,8798
Near Park,Apartment,1920,4,4,4,excellent,9,83,14312
Outskirts,Penthouse,684,3,2,18,poor,2,19,6541
Near Park,Penthouse,1673,6,3,36,good,2,3,13804
Suburbs,Studio,4908,5,3,11,excellent,5,98,25177
Outskirts,House,3771,1,4,17,excellent,8,85,16999
City Center,Studio,1560,3,1,19,poor,8,44,11079
Commercial Area,Villa,5733,2,4,30,average,8,5,22010
City Center,Penthouse,458,2,2,31,excellent,4,14,5635
Near Park,Studio,768,2,2,3,good,6,61,8874
Suburbs,Apartment,5914,4,4,33,average,5,96,24159
Commercial Area,House,5230,6,2,29,average,6,66,26430
Suburbs,House,1231,6,4,6,good,6,64,16215
Near Park,Apartment,4474,3,3,16,good,1,35,15951
Suburbs,Apartment,4627,6,2,5,excellent,5,19,21963
Outskirts,Penthouse,1424,3,1,16,good,0,89,9558
Outskirts,House,4132,3,2,1,average,3,87,16382
Near Park,Apartment,3069,2,4,35,good,3,38,13454
Suburbs,Villa,5217,1,3,13,excellent,5,21,17175
Near Park,House,2788,2,2,10,poor,5,80,14746
Commercial Area,Apartment,4320,5,4,19,excellent,2,61,18676
Suburbs,Studio,896,1,3,22,average,8,43,6935
Outskirts,Apartment,536,3,4,7,excellent,0,19,8417
City Center,House,1174,6,3,11,average,3,68,16116
Outskirts,Penthouse,5641,1,2,29,average,6,70,25162
Suburbs,Villa,4166,2,4,33,poor,6,15,15503
Suburbs,Apartment,625,1,3,15,excellent,0,8,4698
Suburbs,House,5449,5,4,3,excellent,3,87,26970
Suburbs,Apartment,331,1,4,9,poor,5,13,6119
Commercial Area,Apartment,4211,3,1,25,poor,2,34,12620
City Center,House,3931,6,2,20,average,3,12,16472
Outskirts,Studio,2067,5,2,26,average,9,27,14774
Commercial Area,House,4756,3,2,27,good,8,84,17938
Near Park,House,3385,2,4,33,average,3,81,13403
Suburbs,Penthouse,3927,1,4,33,average,8,4,13723
Outskirts,Apartment,5153,6,3,30,average,8,40,29403
Near Park,Apartment,2032,3,3,29,average,4,12,11004
City Center,House,3673,6,2,35,good,5,10,21889
Outskirts,Studio,4281,1,4,23,excellent,7,79,21871
Commercial Area,Penthouse,1565,5,4,34,average,1,7,11899
Near Park,Studio,5897,1,3,30,good,0,3,11410
Outskirts,Studio,3276,6,3,32,average,5,70,16842
Commercial Area,Penthouse,4936,6,1,20,good,1,62,19251
Suburbs,Penthouse,2253,6,3,0,good,8,6,18019
Outskirts,Studio,5783,4,3,21,poor,7,54,23331
Suburbs,Studio,5493,3,1,12,good,7,55,24327
Near Park,Studio,1920,6,4,25,average,6,47,15231
Near Park,Apartment,3390,6,3,22,poor,5,66,21993
Near Park,Apartment,3745,4,2,16,average,3,71,20576
Suburbs,Apartment,5101,6,1,11,good,2,63,27473
Suburbs,Apartment,1487,1,2,30,good,9,33,9685
Commercial Area,Penthouse,3648,4,4,39,average,2,30,14646
Outskirts,House,3089,6,3,26,good,8,54,21317
Commercial Area,Apartment,2600,5,1,20,poor,8,81,14377
Suburbs,Studio,3820,3,3,29,excellent,0,64,15898
Outskirts,House,1993,1,1,28,good,0,85,10428
Near Park,Apartment,5032,4,4,0,poor,8,79,27456
Commercial Area,Villa,629,3,3,24,poor,1,80,9292
Commercial Area,Villa,379,3,1,12,poor,1,93,7591
Commercial Area,Penthouse,5860,1,2,24,poor,8,57,23360
Suburbs,Villa,3546,6,4,20,average,0,80,20298
Outskirts,Penthouse,4271,6,4,1,good,5,40,20272
Near Park,Penthouse,1964,1,2,22,poor,5,69,11155
Suburbs,Penthouse,3454,3,3,31,average,2,90,15870
Near Park,House,704,3,1,24,excellent,8,28,7802
City Center,House,4212,2,1,14,excellent,0,42,13896
City Center,Villa,824,5,2,34,poor,7,51,10469
Near Park,House,820,3,4,37,poor,4,67,10509
City Center,Apartment,3352,6,4,27,average,9,7,22184
Outskirts,Penthouse,3305,2,1,20,poor,3,47,11608
Outskirts,Apartment,3702,1,3,22,poor,4,72,17773
Suburbs,House,3237,2,1,6,average,6,35,15160
Near Park,Studio,682,5,1,3,average,4,24,9000
Suburbs,House,2494,1,4,31,average,9,36,11523
Outskirts,Penthouse,1365,5,3,12,excellent,3,82,14522
Outskirts,Studio,4315,1,2,35,poor,5,4,16768
Outskirts,Studio,3810,5,4,16,good,6,1,18557
Commercial Area,Penthouse,4175,5,3,38,good,0,32,14547
City Center,Villa,1054,2,1,0,excellent,8,66,9786
Suburbs,House,5233,1,3,12,excellent,3,8,16925
Suburbs,House,2171,3,3,39,average,8,57,14233
Outskirts,Studio,3215,1,3,16,average,3,36,11213
Commercial Area,Studio,1227,6,3,6,poor,0,90,14209
Suburbs,Penthouse,5905,4,3,16,good,4,4,19773
Suburbs,Penthouse,1604,6,2,1,excellent,0,9,13048
Commercial Area,Villa,754,5,4,38,poor,5,12,10947
Outskirts,Studio,863,5,2,26,excellent,2,29,10486
Commercial Area,House,5129,6,3,1,poor,6,33,25194
City Center,Penthouse,4313,5,2,17,poor,3,11,17396
Suburbs,Apartment,4718,1,3,6,poor,8,94,22438
