location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
City Center,Studio,poor,3844,6,1,30,2,50.97,1.77,1.34,45,59.31
City Center,Studio,good,5232,4,1,1,4,73.13,1.36,1.42,38,46.01
City Center,Villa,excellent,2507,1,2,31,2,69.7,0.9,0.85,13,55.4
Suburbs,Penthouse,poor,3977,2,3,7,9,54.78,0.93,0.68,32,41.03
Near Park,Penthouse,average,2297,5,3,23,0,97.98,0.84,0.99,17,64.87
Commercial Area,House,average,4897,4,2,21,8,7.96,1.2,0.62,70,22.91
Outskirts,Villa,poor,4924,2,4,37,4,84.95,1.01,0.68,19,63.67
Outskirts,Villa,average,2549,5,2,6,0,99.04,1.58,0.86,27,81.81
Suburbs,Apartment,average,4749,6,3,5,4,72.61,1.28,1.34,41,48.34
City Center,House,good,5216,3,3,8,6,48.73,1.04,0.52,18,39.89
Suburbs,House,good,3327,6,2,3,1,71.94,1.0,0.65,6,55.35
Near Park,Penthouse,poor,1271,1,3,11,0,33.84,0.54,1.2,82,25.31
Near Park,Penthouse,excellent,5520,4,2,34,7,47.09,1.75,0.53,77,59.36
Commercial Area,House,good,417,4,4,1,2,26.3,1.4,0.71,28,45.93
Commercial Area,Villa,excellent,2069,2,4,22,5,38.63,1.32,1.11,1,38.08
Near Park,Apartment,average,4101,6,3,24,1,97.81,1.82,0.62,60,94.66
Near Park,Penthouse,excellent,3235,5,2,12,4,30.89,1.67,1.09,69,41.12
Near Park,Apartment,poor,5622,3,3,13,0,59.6,1.89,1.33,92,61.52
Suburbs,House,excellent,3572,4,1,10,7,83.69,1.04,1.04,71,45.91
Near Park,Villa,excellent,816,1,1,14,8,54.1,1.89,0.87,49,65.41
Outskirts,Apartment,good,5127,1,1,5,2,75.87,1.1,0.65,42,49.7
City Center,Studio,good,2613,4,1,22,2,85.53,0.99,1.39,71,50.12
Near Park,House,excellent,783,2,2,38,8,59.23,1.72,0.81,52,62.66
City Center,Villa,average,3430,2,4,23,9,61.28,1.93,0.64,15,57.08
Suburbs,House,excellent,4191,2,2,34,3,32.87,1.42,1.24,79,39.63
City Center,House,average,4659,1,2,6,2,37.11,0.62,1.22,78,27.45
Suburbs,Apartment,average,3190,2,1,18,6,85.13,1.37,1.24,19,59.35
Outskirts,Apartment,average,2123,3,2,20,5,10.2,1.78,1.21,11,39.14
Suburbs,Studio,average,3359,5,3,20,1,11.69,1.64,1.01,15,38.35
Suburbs,Penthouse,good,5768,6,1,15,9,93.73,1.88,0.83,94,63.5
Commercial Area,Studio,good,4709,4,1,0,3,96.11,1.02,1.16,33,56.5
Near Park,Villa,average,4946,3,4,4,5,45.98,1.63,0.83,95,48.27
Near Park,Villa,average,3366,2,3,21,3,79.81,1.17,0.54,68,61.84
Outskirts,House,average,683,3,4,27,0,14.66,0.61,1.22,16,18.13
Outskirts,Apartment,excellent,4073,4,2,17,8,59.8,0.85,0.87,29,40.55
Near Park,House,good,2778,1,3,16,0,16.39,1.71,0.73,79,45.04
Commercial Area,Penthouse,excellent,3993,6,3,3,4,22.48,1.27,0.75,90,35.1
Near Park,House,average,1182,4,3,9,9,51.92,1.83,0.71,97,49.56
Commercial Area,Villa,good,2590,5,1,24,2,98.12,0.56,0.53,88,65.87
Outskirts,Villa,good,4814,3,4,39,0,4.64,1.38,1.46,82,34.3
City Center,Studio,excellent,4251,6,3,39,1,67.99,1.08,1.17,91,57.19
Outskirts,House,average,517,5,2,39,9,11.45,1.72,0.96,28,34.03
Outskirts,Apartment,excellent,3588,1,1,13,4,79.28,1.54,0.56,27,70.38
Suburbs,Penthouse,good,2525,4,1,31,9,33.6,1.25,1.21,53,22.27
Suburbs,Penthouse,average,3668,1,2,6,9,81.41,0.6,0.97,92,30.34
Suburbs,Apartment,good,5496,3,4,36,1,3.24,0.64,0.66,76,35.78
Suburbs,Penthouse,excellent,1492,2,1,39,3,87.88,1.64,0.69,66,76.92
Commercial Area,Apartment,excellent,4395,1,2,35,0,36.33,1.39,1.23,63,52.45
Near Park,Apartment,good,1076,6,1,16,7,27.8,0.58,0.92,71,19.99
City Center,Studio,good,2898,5,1,7,1,11.75,1.81,0.84,45,48.6
Outskirts,House,average,3465,5,1,33,2,19.69,0.87,1.37,41,25.42
Commercial Area,Villa,poor,5532,4,1,2,9,58.85,1.96,1.47,76,43.01
City Center,Villa,excellent,3046,3,4,14,1,29.67,1.31,1.3,18,39.64
Commercial Area,House,poor,5151,1,2,14,1,0.69,0.7,1.26,11,17.31
Commercial Area,Penthouse,average,4932,5,3,10,2,49.61,0.96,0.98,50,37.07
Outskirts,Apartment,good,4915,2,4,15,9,4.92,1.46,0.98,47,24.99
Near Park,Villa,poor,2898,4,4,36,9,31.28,1.63,1.29,44,33.45
Suburbs,Studio,average,4366,3,3,5,7,14.96,0.98,1.28,37,16.54
Near Park,Penthouse,excellent,972,3,3,22,5,37.71,0.95,1.28,95,25.49
Outskirts,Studio,good,5143,3,3,23,9,50.82,0.52,0.84,76,15.66
Outskirts,Villa,average,4579,3,4,25,7,17.88,0.63,0.65,94,17.48
Outskirts,House,average,1858,1,3,35,2,36.37,1.33,1.05,1,52.33
City Center,House,average,3662,6,1,39,8,13.63,1.8,1.45,78,37.87
Near Park,Studio,poor,1976,5,3,0,1,96.76,1.13,0.92,32,64.68
Near Park,Penthouse,good,5564,6,3,30,7,27.21,1.24,1.24,13,32.47
Commercial Area,Villa,average,2899,1,4,27,3,96.25,1.34,0.71,63,74.65
Commercial Area,Apartment,good,1953,3,2,28,0,0.26,0.88,0.81,90,38.55
Commercial Area,House,excellent,2167,5,4,30,5,70.88,1.56,0.57,19,67.2
Outskirts,Studio,excellent,3616,4,1,25,2,70.11,1.29,1.3,81,53.65
Near Park,Villa,average,907,1,3,19,5,42.27,0.97,0.92,83,37.14
Outskirts,Penthouse,excellent,364,3,4,35,4,95.0,1.79,1.23,81,86.34
City Center,Apartment,good,5388,4,3,7,6,13.11,1.55,0.6,31,27.8
Commercial Area,Apartment,average,2400,5,4,32,5,80.29,1.45,0.94,18,69.33
Outskirts,House,average,3577,6,4,1,3,22.11,0.77,1.38,37,17.77
Outskirts,Apartment,poor,1909,2,3,19,0,68.3,1.79,0.89,57,75.23
City Center,Villa,good,883,5,4,3,4,44.12,0.97,1.27,20,29.05
Suburbs,House,good,5078,5,1,12,5,91.47,1.24,1.28,7,55.48
Near Park,House,excellent,5009,3,4,4,2,37.1,0.8,1.1,3,30.53
Suburbs,House,poor,1341,6,1,22,9,76.05,1.05,0.93,56,35.84
Commercial Area,Villa,average,3056,5,3,21,6,75.73,1.35,0.54,80,56.83
Outskirts,Studio,poor,1446,6,1,1,0,7.17,1.43,0.68,5,42.73
City Center,Apartment,good,3433,1,4,29,3,55.23,1.12,0.83,66,55.15
City Center,Apartment,average,5158,2,1,16,0,86.16,1.85,0.87,16,74.89
Near Park,Studio,poor,5872,3,1,5,1,68.59,1.59,1.45,27,50.03
Suburbs,House,excellent,5889,3,4,22,5,54.76,1.31,1.06,88,51.19
Near Park,Penthouse,excellent,4614,5,1,24,3,98.87,1.81,0.76,92,88.73
Outskirts,Villa,poor,4813,5,2,25,7,67.65,1.71,1.33,50,49.2
Near Park,House,poor,3588,5,1,35,5,29.65,0.96,1.23,6,32.2
City Center,House,average,5352,2,4,0,3,37.23,0.65,0.69,33,30.98
City Center,House,poor,358,1,3,38,4,91.61,1.28,0.52,53,65.33
Commercial Area,Apartment,good,3757,6,3,28,5,84.05,1.84,0.88,90,77.42
Commercial Area,Apartment,average,5163,5,1,17,5,26.12,1.09,0.73,28,39.07
Outskirts,Penthouse,excellent,3520,6,2,16,9,81.68,0.55,0.73,46,36.89
Suburbs,Villa,excellent,2864,4,3,17,9,50.87,1.12,1.28,63,28.63
Near Park,House,average,4775,6,3,13,1,81.07,1.8,1.02,77,72.97
Outskirts,Apartment,average,2566,6,3,24,4,87.57,1.96,1.2,16,71.47
Commercial Area,Studio,excellent,1725,5,2,33,7,43.7,1.89,1.24,96,51.31
Near Park,Apartment,good,3471,5,2,4,8,96.86,1.3,1.15,91,64.27
Commercial Area,House,excellent,5017,4,2,2,3,12.06,1.06,0.62,31,26.52
Near Park,House,excellent,4881,6,3,2,2,85.6,0.92,1.15,85,42.37
Suburbs,Apartment,poor,2728,2,1,16,2,71.66,1.01,1.32,66,50.14
Outskirts,Studio,good,3166,2,2,21,9,86.33,1.95,0.87,95,56.36
Near Park,Studio,poor,1223,2,3,23,0,87.91,0.55,0.92,41,55.58
City Center,House,average,2346,5,4,16,6,38.03,0.57,0.82,65,21.7
City Center,Apartment,good,4990,2,1,22,0,81.8,0.52,1.01,97,49.54
Near Park,Villa,excellent,3340,5,1,30,5,17.35,1.57,0.91,99,45.81
Near Park,Villa,good,684,5,1,17,6,28.47,1.54,0.94,35,33.62
Near Park,House,average,2374,1,2,20,7,47.45,1.06,1.37,97,27.6
City Center,Studio,good,2805,4,4,29,8,2.48,1.87,1.38,43,28.33
City Center,Villa,good,1106,5,2,37,1,16.3,1.46,0.7,57,47.58
Near Park,Apartment,poor,3061,1,1,15,8,84.35,1.25,1.45,26,43.95
Commercial Area,Penthouse,average,3297,2,3,14,0,92.67,0.76,0.53,66,65.12
Commercial Area,Penthouse,excellent,1908,1,3,22,2,70.68,0.84,0.79,88,54.44
Suburbs,Studio,excellent,3997,1,2,12,1,24.42,1.18,0.71,9,39.17
Outskirts,Penthouse,good,3901,3,1,37,0,92.62,1.15,1.34,96,73.89
Commercial Area,Apartment,poor,769,4,4,39,1,67.88,1.93,0.66,41,86.33
City Center,House,good,4473,6,2,24,1,73.82,1.13,1.35,97,46.98
Commercial Area,House,good,3447,3,3,26,7,98.13,1.91,0.88,76,78.35
Suburbs,Apartment,poor,2544,4,3,29,2,24.49,0.62,1.47,17,17.97
Suburbs,House,poor,3743,3,3,5,4,14.36,0.76,1.13,98,18.79
Outskirts,Apartment,poor,2823,2,3,39,2,19.85,0.6,1.35,52,29.1
Commercial Area,Apartment,poor,4773,6,4,32,4,60.19,1.71,1.2,31,61.53
City Center,Penthouse,average,2589,3,1,16,0,15.6,0.56,0.64,74,24.39
City Center,Penthouse,poor,525,3,3,22,8,97.45,1.9,1.26,60,70.86
Near Park,Studio,good,2236,1,4,5,9,34.7,0.73,0.74,40,19.92
City Center,Penthouse,excellent,1121,6,1,18,4,80.71,0.73,1.42,52,39.54
Outskirts,House,average,5049,6,1,25,0,40.12,1.2,0.77,79,56.15
Outskirts,Penthouse,excellent,2003,6,1,28,3,60.19,1.7,1.22,81,60.36
City Center,Apartment,average,2745,5,3,11,4,98.72,0.53,1.39,60,33.55
City Center,Penthouse,average,3378,3,4,11,3,49.32,0.61,1.22,74,22.07
Near Park,House,poor,701,1,3,6,5,1.79,1.61,1.29,22,26.79
City Center,Studio,good,3080,3,2,16,4,35.87,1.6,0.92,48,47.02
Near Park,Villa,good,2739,5,3,32,1,63.14,1.02,0.98,18,59.02
Near Park,Apartment,good,1166,5,4,18,1,53.5,1.95,1.42,46,60.25
City Center,House,poor,3798,6,2,36,6,69.08,0.83,1.29,65,31.9
Suburbs,House,good,1551,4,3,9,0,12.14,1.33,1.25,84,33.75
Suburbs,Villa,good,1105,1,3,7,7,88.44,1.5,0.9,99,61.8
Near Park,Studio,excellent,1250,2,2,18,0,3.28,1.17,1.38,33,27.84
City Center,Apartment,excellent,2013,6,1,4,3,80.29,1.53,1.05,48,58.17
Suburbs,Studio,good,4629,6,4,20,3,95.53,0.81,0.97,66,64.36
City Center,Villa,excellent,699,5,4,15,6,64.12,0.63,0.93,34,35.98
City Center,Apartment,good,913,6,1,7,9,16.99,0.78,0.71,57,21.53
City Center,Penthouse,poor,4482,1,4,24,3,83.64,0.91,1.07,84,51.78
Commercial Area,Studio,excellent,2170,5,3,2,2,2.07,1.36,1.21,69,26.7
City Center,Penthouse,excellent,3057,3,1,0,9,34.71,0.88,1.43,91,5.7
Commercial Area,Apartment,average,2290,6,1,3,3,10.09,0.55,1.28,17,14.31
Near Park,Villa,poor,5114,4,4,3,2,3.81,0.61,0.88,54,21.16
Suburbs,Penthouse,poor,3651,5,4,23,5,90.02,1.06,0.64,35,57.33
Suburbs,Penthouse,good,2656,2,1,12,5,31.63,1.33,1.46,65,29.81
Suburbs,House,average,4067,6,2,37,8,19.47,0.51,1.05,99,10.1
Suburbs,Apartment,good,731,2,4,24,4,35.05,1.35,0.67,28,48.22
Suburbs,Villa,excellent,5802,6,4,7,3,95.38,0.77,1.37,77,46.32
Suburbs,House,excellent,4345,6,4,36,9,30.94,0.77,0.72,61,30.59
Suburbs,Studio,good,3648,3,1,16,0,84.56,1.78,0.5,78,86.08
Near Park,Villa,excellent,3764,4,2,4,0,53.82,1.76,0.84,98,60.46
City Center,House,good,3924,2,3,36,2,96.85,1.86,1.06,60,93.82
Outskirts,Studio,poor,5403,3,2,5,2,74.4,0.84,1.26,93,48.36
Commercial Area,Villa,average,4791,4,4,11,6,57.75,0.91,0.75,90,51.91
Outskirts,House,average,1091,2,2,1,7,13.72,0.85,1.03,57,6.7
Outskirts,Villa,poor,5207,3,4,9,5,79.06,1.32,0.89,47,54.24
City Center,Penthouse,good,5652,1,4,26,8,76.62,0.57,1.32,65,33.03
City Center,House,average,831,1,1,36,9,73.66,0.85,0.6,64,52.83
City Center,Penthouse,good,1230,2,4,5,7,49.73,1.97,1.32,52,53.56
Suburbs,House,poor,3534,6,3,31,2,52.94,0.93,0.8,80,54.93
Near Park,Penthouse,good,5645,1,1,18,5,60.38,1.48,1.18,29,41.02
Suburbs,Apartment,average,2951,6,3,16,5,6.35,1.85,0.79,3,45.47
Near Park,Penthouse,excellent,5212,4,2,37,2,43.52,0.9,1.44,70,44.95
Near Park,Apartment,average,432,5,3,38,6,48.01,0.99,1.46,18,30.35
Outskirts,Villa,average,1149,3,3,7,3,38.31,1.43,1.26,8,34.91
Outskirts,Studio,good,1524,4,1,4,7,27.35,0.55,0.76,78,17.93
Near Park,Studio,good,3738,1,1,28,4,59.2,0.76,1.26,33,36.56
Near Park,Studio,good,556,6,4,1,4,96.8,1.32,0.8,31,68.1
Suburbs,Apartment,average,938,5,4,25,5,28.52,1.36,0.63,49,41.24
Suburbs,Studio,good,5385,1,2,27,3,31.71,0.59,0.64,58,33.62
Outskirts,Studio,poor,577,3,1,8,8,86.78,1.16,1.19,76,46.39
City Center,Penthouse,excellent,5738,4,1,20,0,10.44,1.2,0.64,63,48.31
Near Park,Studio,poor,3632,5,1,16,6,70.95,0.58,0.82,47,41.52
Suburbs,Apartment,poor,605,6,1,21,2,60.07,1.14,1.25,44,42.4
Outskirts,Penthouse,average,1176,1,1,18,6,76.24,0.68,1.35,95,29.85
Suburbs,Apartment,excellent,5887,3,4,20,9,38.74,1.6,0.79,29,42.37
Near Park,House,average,5434,5,4,27,5,57.16,1.03,0.71,69,50.38
Near Park,Studio,average,2045,3,3,10,9,74.24,1.78,0.99,39,54.99
Commercial Area,Apartment,poor,5280,3,3,23,7,61.56,1.07,0.98,18,37.54
City Center,Apartment,average,3420,2,4,12,2,96.34,0.63,1.25,36,44.99
Commercial Area,Penthouse,average,5761,6,2,31,7,11.14,2.0,0.84,3,48.31
Outskirts,House,poor,5533,1,3,27,3,19.51,1.71,0.77,49,43.35
Suburbs,House,excellent,1339,1,2,37,6,53.89,1.82,0.52,44,63.11
Outskirts,Studio,poor,609,6,4,16,2,10.51,0.77,0.92,2,20.44
Near Park,Villa,poor,2505,6,3,25,3,16.21,0.85,0.94,84,29.1
Commercial Area,Villa,excellent,1809,5,2,33,1,88.98,2.0,1.07,19,85.1
Commercial Area,Penthouse,average,3301,2,3,33,2,67.04,1.75,0.64,20,73.46
Commercial Area,Studio,average,5274,3,2,36,8,51.7,1.28,1.18,24,37.04
Outskirts,Penthouse,average,3317,4,1,26,4,49.96,1.95,1.45,49,53.51
Near Park,Studio,average,1390,1,1,30,4,58.24,0.73,1.03,77,35.54
Suburbs,House,average,4692,1,2,3,7,10.48,1.54,1.44,4,29.3
Suburbs,Villa,good,3645,1,1,26,4,1.96,1.56,0.97,25,30.03
Outskirts,Apartment,average,897,5,1,19,0,86.79,1.83,1.45,76,78.4
Commercial Area,Villa,average,2410,3,3,7,1,94.47,1.15,0.98,65,62.74
City Center,Studio,poor,1736,5,2,10,7,98.12,1.26,0.63,45,57.06
Outskirts,Villa,poor,4595,6,3,15,7,26.52,0.52,0.71,41,17.24
Outskirts,Apartment,good,487,3,3,37,5,0.58,0.6,0.89,24,17.38
Near Park,House,excellent,5875,6,4,15,5,21.33,1.27,1.49,89,23.3
Suburbs,House,poor,5550,5,2,17,0,29.0,1.54,0.97,20,50.05
Outskirts,Studio,good,3081,6,1,1,2,75.51,1.9,0.53,91,81.83
Outskirts,Villa,poor,1845,4,3,20,3,71.41,0.53,1.06,40,37.65
Commercial Area,Studio,excellent,5107,4,4,28,3,6.98,1.31,0.85,30,41.78
Commercial Area,Villa,poor,5220,2,1,29,4,93.12,0.63,1.14,1,51.27
City Center,Penthouse,excellent,3442,3,3,13,6,61.89,1.17,1.13,70,34.5
Near Park,Studio,good,3601,5,1,19,6,43.38,1.3,1.29,72,41.01
City Center,Villa,good,2850,4,1,27,9,15.67,1.07,1.37,7,16.75
Commercial Area,Penthouse,excellent,3774,3,3,27,4,28.77,1.34,0.79,77,45.18
Suburbs,Studio,excellent,2233,6,1,33,9,88.03,0.93,0.84,91,51.18
Commercial Area,House,excellent,4684,4,4,0,5,21.05,0.92,1.37,95,21.06
Near Park,Penthouse,good,3239,1,1,15,1,88.76,1.11,0.86,1,59.81
Commercial Area,Studio,average,4762,1,4,14,7,96.26,0.57,0.9,57,40.72
Near Park,Apartment,excellent,3564,5,1,9,7,43.06,1.61,1.01,25,40.22
Near Park,House,good,2293,6,4,2,4,23.55,1.61,0.58,53,52.92
Near Park,Penthouse,poor,1355,3,3,15,6,69.29,1.21,1.48,39,38.64
Near Park,Villa,excellent,1308,2,4,22,6,87.0,1.07,0.68,11,61.04
Near Park,Apartment,poor,4555,3,4,25,2,66.83,1.25,0.75,40,65.06
Suburbs,Villa,poor,2879,6,4,31,7,31.21,1.01,0.83,54,35.74
City Center,Apartment,average,1064,2,4,26,4,94.42,0.53,1.01,60,49.04
Outskirts,Studio,poor,5967,6,4,28,4,72.8,1.1,1.15,60,51.7
City Center,Studio,average,777,2,1,31,8,1.38,0.52,1.04,80,8.17
Near Park,Villa,excellent,5197,5,3,29,7,37.86,1.25,1.45,79,34.44
Suburbs,Villa,poor,332,2,2,16,5,29.98,0.55,1.07,62,25.29
Commercial Area,Villa,good,3321,4,1,26,4,94.63,1.64,1.39,29,69.87
Suburbs,Penthouse,good,3401,3,3,25,5,30.41,1.39,0.96,68,37.37
Near Park,House,excellent,3740,1,4,25,4,29.99,1.37,1.33,95,38.65
Suburbs,Villa,excellent,3655,3,1,17,6,54.08,1.11,1.2,91,34.55
Suburbs,Studio,average,3288,1,3,23,3,4.09,1.55,0.66,83,45.43
Near Park,Studio,average,1444,2,1,3,4,52.67,1.09,0.54,41,42.76
Suburbs,Villa,good,5627,5,4,2,6,90.39,1.5,0.65,16,65.47
Outskirts,Villa,average,5347,2,1,35,3,21.26,1.83,1.33,38,44.56
Outskirts,Studio,poor,1250,1,3,7,1,17.44,0.56,1.45,24,13.31
Suburbs,Penthouse,excellent,1644,5,3,6,9,69.03,1.25,0.83,75,41.4
Commercial Area,Apartment,excellent,2077,1,1,5,6,19.77,1.95,0.64,44,46.98
Near Park,Studio,good,3170,5,3,8,3,85.02,1.47,1.23,49,56.61
Outskirts,Apartment,poor,5045,3,3,26,6,17.3,1.19,1.19,63,20.97
Commercial Area,Villa,good,2557,2,1,26,3,94.38,1.4,1.05,34,67.23
Suburbs,House,good,2648,2,4,5,0,36.89,0.77,1.44,11,33.36
Commercial Area,Villa,excellent,4898,4,1,16,2,7.55,0.74,1.03,29,24.96
City Center,Villa,good,5794,6,2,7,5,19.57,1.55,0.62,34,42.67
Outskirts,Villa,poor,2591,4,1,27,0,62.32,1.59,1.35,67,62.73
Suburbs,Studio,good,1954,1,3,34,6,10.44,1.85,0.63,70,51.51
Near Park,Studio,average,1683,2,2,9,9,78.64,1.66,1.48,86,46.92
Suburbs,House,average,2164,4,3,3,1,30.46,1.98,0.62,96,59.4
Near Park,Apartment,good,5256,3,4,26,5,28.46,0.64,1.4,72,23.36
Suburbs,Apartment,excellent,4731,3,3,6,5,12.46,0.96,1.33,44,24.25
Commercial Area,Apartment,excellent,5369,1,1,10,5,96.31,0.83,1.28,51,32.51
Commercial Area,Villa,excellent,2835,6,1,0,3,58.3,1.05,0.99,99,51.59
Commercial Area,House,good,5713,1,3,8,3,71.02,1.1,1.41,14,50.85
City Center,Villa,poor,972,3,2,22,9,53.57,0.64,1.45,20,11.72
Near Park,House,good,1896,6,3,31,8,83.3,0.94,1.49,43,43.88
Commercial Area,Penthouse,poor,5124,5,1,13,3,88.22,1.14,0.98,66,57.45
City Center,Studio,good,5122,5,3,6,8,87.87,1.67,1.33,16,51.33
Near Park,Villa,average,1882,4,2,36,4,67.14,0.64,0.82,34,45.15
Suburbs,Penthouse,good,2048,5,4,22,5,69.66,1.21,0.59,28,63.27
City Center,Apartment,poor,1277,2,2,0,4,25.26,1.97,0.53,42,47.79
Outskirts,Penthouse,average,4086,1,2,23,5,62.64,0.84,0.86,41,52.34
City Center,Studio,good,4736,5,4,12,6,18.69,0.53,0.62,26,19.14
City Center,Studio,good,2334,2,2,32,1,59.3,1.41,0.5,50,75.34
Near Park,Studio,excellent,4376,2,2,12,2,50.95,1.44,1.26,67,50.22
Suburbs,Penthouse,average,2814,6,2,13,7,49.51,1.59,1.29,48,30.44
Outskirts,Apartment,average,3590,5,2,28,5,66.36,1.97,0.59,52,70.04
Commercial Area,Villa,good,695,4,4,7,4,13.5,1.6,0.85,10,42.92
Commercial Area,Apartment,poor,4081,5,1,15,9,82.57,1.88,0.79,55,65.23
City Center,House,poor,2194,2,1,6,2,24.1,0.61,1.29,14,23.73
Near Park,House,average,5369,4,1,18,2,48.78,1.51,0.93,76,55.48
Near Park,Villa,average,1874,2,1,30,1,20.28,1.44,0.56,59,52.32
Commercial Area,Studio,good,5754,3,2,13,3,22.69,1.87,0.77,50,53.56
Outskirts,Villa,poor,3267,2,1,11,9,8.03,1.16,1.37,12,18.14
Suburbs,Penthouse,good,1216,5,4,28,7,51.48,1.48,0.83,30,56.45
Outskirts,Studio,good,1292,4,3,2,4,44.83,1.73,1.46,99,46.47
Suburbs,Villa,poor,1495,1,3,26,5,93.19,1.93,0.76,56,74.5
Commercial Area,Villa,excellent,2291,1,4,39,4,25.02,0.55,0.54,30,23.45
Suburbs,Penthouse,poor,1866,4,2,33,1,13.75,1.97,1.01,30,49.15
Near Park,Penthouse,excellent,4687,6,3,25,1,22.0,1.47,1.14,63,53.73
City Center,Apartment,excellent,1613,3,4,8,1,40.0,0.89,0.8,25,46.7
City Center,House,average,669,3,2,4,6,19.54,1.61,1.43,92,29.51
Commercial Area,Villa,good,1027,1,3,12,2,25.62,0.68,1.37,19,16.6
Near Park,Apartment,good,5775,3,3,20,9,17.15,1.33,1.27,81,23.37
Outskirts,Studio,excellent,2307,6,4,32,4,70.77,1.11,0.76,39,65.59
Near Park,Studio,excellent,3191,4,3,7,6,86.43,1.57,1.17,27,60.19
City Center,House,poor,4636,5,3,4,7,24.37,1.34,1.21,43,27.95
City Center,Studio,good,5991,2,1,11,6,90.89,0.75,0.72,13,55.81
Near Park,House,poor,3658,4,4,18,0,66.84,0.92,1.25,21,53.32
Near Park,Studio,good,449,1,2,25,8,99.6,0.64,1.33,44,38.06
City Center,Studio,poor,4808,6,2,25,7,10.48,1.46,1.24,11,26.71
Outskirts,Villa,poor,5566,5,1,30,7,13.3,1.88,1.48,15,27.99
Commercial Area,Penthouse,poor,5633,6,3,6,8,16.29,1.98,0.71,23,37.1
Commercial Area,Villa,good,2523,2,3,0,7,41.73,0.58,1.05,35,11.98
Near Park,Apartment,poor,5984,4,2,5,0,55.13,1.72,0.5,15,74.02
Commercial Area,Penthouse,excellent,3830,4,1,9,2,6.38,1.67,0.76,40,40.95
City Center,Villa,good,1615,3,2,21,4,96.1,1.98,1.42,85,83.76
City Center,Penthouse,excellent,2735,2,3,2,6,69.98,1.46,0.75,23,52.51
Near Park,Penthouse,average,5163,4,3,24,1,82.9,1.02,1.27,86,57.77
Near Park,Penthouse,good,3050,6,4,33,2,48.93,0.68,1.26,26,37.89
Near Park,Studio,poor,2048,4,1,26,4,64.15,0.93,0.58,61,51.76
Outskirts,Penthouse,excellent,4475,4,1,22,8,16.11,1.68,1.07,71,30.67
Commercial Area,Studio,poor,551,3,1,14,3,79.17,0.69,1.46,1,45.4
Near Park,Penthouse,poor,1733,3,3,10,0,9.89,0.57,1.01,51,28.14
Suburbs,Studio,good,1321,5,3,1,6,34.47,1.99,0.92,71,58.85
Suburbs,Penthouse,excellent,2987,1,4,3,6,89.07,1.09,1.27,97,40.53
City Center,Apartment,poor,5515,6,2,9,3,12.77,0.58,0.82,36,29.64
Commercial Area,Villa,excellent,639,2,4,6,9,98.12,1.67,1.13,43,61.14
Near Park,Penthouse,good,1388,4,1,6,5,33.45,1.29,0.62,69,38.46
Suburbs,Apartment,excellent,3631,4,2,4,5,16.55,0.69,0.79,96,21.65
Commercial Area,Villa,average,5519,1,2,36,1,53.36,1.46,0.98,4,54.01
City Center,House,excellent,5967,5,2,3,3,62.97,1.65,1.38,28,57.21
Outskirts,Penthouse,average,2685,5,1,0,1,13.77,1.28,0.88,65,44.93
Commercial Area,House,excellent,4370,4,2,14,2,71.44,1.05,0.98,17,51.66
Commercial Area,Villa,excellent,5679,6,4,1,2,32.4,1.38,1.34,61,47.2
Outskirts,Villa,poor,2328,1,3,31,5,3.62,1.58,0.71,8,37.34
Commercial Area,Penthouse,excellent,1957,4,3,33,2,60.34,1.24,0.71,15,63.06
City Center,Apartment,good,4703,4,2,16,2,24.11,1.68,0.82,61,46.91
City Center,Penthouse,good,5350,6,1,32,0,9.98,1.69,0.54,5,62.9
Outskirts,Apartment,average,3520,3,1,12,7,72.37,0.51,1.27,17,26.65
Near Park,Penthouse,average,5609,4,4,3,4,37.06,0.98,1.02,2,27.65
Suburbs,Apartment,excellent,827,3,4,14,0,43.72,1.67,0.51,52,66.82
Near Park,Studio,good,709,6,2,0,6,89.29,1.53,0.52,44,63.73
Commercial Area,Apartment,good,337,3,1,37,3,60.35,1.65,1.44,46,55.57
Suburbs,Apartment,average,1737,6,1,26,7,4.12,1.53,1.01,81,29.48
Outskirts,Villa,average,5901,4,4,22,9,25.94,1.52,0.76,57,37.54
Outskirts,House,good,1447,3,4,34,6,93.18,1.99,1.25,96,74.48
Suburbs,Penthouse,poor,5442,6,3,36,8,22.29,0.95,1.4,7,14.08
City Center,Villa,good,3348,2,3,2,4,7.54,0.84,1.07,9,17.54
Suburbs,House,poor,1163,1,2,36,2,77.46,0.79,1.45,11,44.87
Commercial Area,Villa,poor,1989,6,1,36,5,7.67,1.25,1.01,23,28.95
City Center,Villa,excellent,1320,6,1,38,0,16.5,1.93,1.07,92,51.34
Outskirts,Penthouse,poor,5091,4,4,38,8,56.98,0.55,0.9,72,37.93
Suburbs,Studio,excellent,2327,2,3,32,9,20.07,0.74,1.16,17,14.11
Near Park,Villa,average,366,4,4,33,1,32.28,0.98,1.43,69,38.48
Near Park,Penthouse,poor,2179,5,3,35,8,37.61,1.72,1.05,10,50.55
Commercial Area,Apartment,good,1300,2,4,3,8,31.03,1.91,1.21,68,33.26
Near Park,House,excellent,4298,3,4,30,8,57.42,1.44,1.34,21,43.42
Suburbs,Penthouse,average,577,2,4,36,2,63.7,0.6,1.45,36,38.88
