location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
university road,house,used,1486,5,2,16,4.24,0.73,24921097
university road,flat,used,5051,6,5,3,2.91,1.05,152125251
aziz bhatti town,flat,new,4652,2,5,0,3.36,0.5,81312418
wapda town,house,new,4528,2,2,29,2.76,0.63,42961689
model town,flat,new,3385,2,3,18,1.98,1.12,61833380
model town,house,old,5160,6,3,12,1.23,0.56,46472560
aziz bhatti town,plot,new,4759,2,1,16,3.93,0.54,73890662
aziz bhatti town,flat,new,1397,1,1,28,3.43,1.14,45257805
wapda town,house,old,4562,3,1,33,1.56,0.71,38072373
wapda town,plot,used,2548,2,5,29,4.54,0.47,18300715
university road,house,used,1546,1,2,30,2.12,0.71,21800581
model town,house,new,685,4,4,16,2.35,0.76,9257888
model town,plot,new,636,2,5,10,4.54,0.42,5324399
aziz bhatti town,flat,old,1959,5,1,13,1.82,0.8,41166692
university road,plot,new,4493,4,1,13,2.16,1.09,124452867
model town,house,used,4093,6,1,34,1.6,1.16,76479088
university road,plot,used,5584,3,3,28,4.11,0.78,93411939
university road,house,new,3800,4,2,8,3.33,1.06,105269935
aziz bhatti town,plot,new,2422,2,4,21,4.24,0.41,30483775
university road,flat,old,1146,5,5,14,2.78,0.94,25497752
wapda town,plot,old,1732,1,5,27,2.18,0.96,21628696
wapda town,plot,new,738,4,2,6,2.28,0.44,5517268
satellite town,flat,old,3282,4,1,20,4.04,1.05,49967944
aziz bhatti town,house,used,1897,5,2,28,3.5,1.0,53033480
satellite town,plot,used,925,3,5,8,2.25,0.69,11120209
wapda town,house,old,2893,5,2,8,2.23,0.71,29344273
satellite town,plot,used,1328,3,3,31,1.59,0.56,11084137
aziz bhatti town,flat,used,4770,6,5,8,4.23,0.87,146170779
aziz bhatti town,plot,used,1402,4,5,0,3.65,0.77,35622161
university road,house,used,4325,4,4,22,3.21,0.5,49069740
model town,house,old,3254,3,1,30,3.73,0.46,19859571
university road,flat,used,2485,3,1,6,2.81,0.83,45273488
aziz bhatti town,house,new,2860,1,5,18,3.64,0.76,67661640
wapda town,flat,old,5768,5,3,20,4.72,1.0,82800640
wapda town,flat,old,3482,2,4,23,1.31,0.82,35355718
university road,house,used,1324,3,3,19,1.05,1.02,26907604
aziz bhatti town,house,new,1710,2,3,30,1.85,0.79,38069019
wapda town,flat,used,3681,5,4,28,4.92,0.77,46738341
aziz bhatti town,house,used,631,2,2,17,1.91,0.56,8644662
wapda town,flat,old,5776,5,1,17,1.37,0.7,52032541
aziz bhatti town,plot,used,3746,3,2,16,3.19,0.65,61431601
satellite town,house,new,2676,2,1,31,3.45,0.57,25853313
aziz bhatti town,house,old,3226,1,1,6,3.15,1.17,93068704
aziz bhatti town,flat,new,3951,2,2,3,2.84,1.17,146436481
university road,plot,used,1778,4,1,25,1.57,0.73,26705213
satellite town,plot,used,5927,1,4,6,3.75,0.95,98871750
model town,house,new,938,3,3,6,3.74,0.7,12140090
university road,flat,new,4038,3,5,17,2.93,0.79,78869651
model town,flat,used,1651,1,5,14,3.1,0.6,17046616
wapda town,house,used,3485,4,5,27,1.63,0.57,29743777
model town,plot,used,3790,4,2,3,1.91,0.5,31746262
aziz bhatti town,flat,old,4568,5,5,19,1.35,1.07,127267141
model town,flat,new,4696,5,5,33,4.71,0.64,60861852
university road,house,old,3005,3,5,16,1.63,0.91,52643993
university road,house,new,1566,2,2,9,3.94,0.54,21351327
model town,plot,used,3443,4,5,27,3.57,0.74,42825977
university road,plot,used,2649,2,2,25,4.99,0.93,52343890
university road,flat,used,3464,4,5,6,3.28,1.0,88001071
model town,house,used,3996,1,4,14,4.57,0.56,38755933
satellite town,house,new,4811,4,4,26,2.28,0.48,42363223
satellite town,house,used,1941,6,5,34,1.91,0.83,29452148
wapda town,plot,new,4830,2,3,8,4.63,0.57,48498743
university road,plot,old,1619,1,3,10,4.43,0.5,17109831
model town,flat,used,2271,6,3,27,2.96,0.69,26869269
university road,house,old,4360,6,3,17,4.14,1.15,111375374
aziz bhatti town,plot,new,4807,5,3,23,3.37,0.5,77277258
university road,house,new,3797,4,1,4,3.6,0.43,44659989
university road,plot,new,4080,5,2,20,1.76,0.74,73229133
satellite town,house,old,1477,6,4,13,1.04,0.68,17096271
model town,flat,new,4334,1,5,8,2.4,0.98,80499116
university road,plot,new,5650,6,1,31,2.66,1.05,153751728
satellite town,plot,old,752,1,1,32,3.46,0.57,5839487
wapda town,flat,used,1784,2,4,27,2.67,1.07,27149626
satellite town,flat,old,1208,6,3,18,3.91,1.1,21669816
satellite town,house,old,1988,5,4,4,1.11,0.77,25966049
satellite town,plot,new,5861,4,1,14,4.11,1.04,119746302
university road,house,old,2776,2,5,15,2.8,0.62,37052348
university road,house,new,2572,4,2,27,3.97,0.64,40176374
wapda town,house,used,4435,2,1,23,2.18,1.02,59984081
aziz bhatti town,plot,new,2702,2,3,5,2.74,0.44,38698346
aziz bhatti town,flat,old,958,2,5,4,3.79,0.57,15495241
aziz bhatti town,house,old,2799,4,1,9,2.77,0.66,47397613
wapda town,plot,old,739,4,4,2,2.54,0.46,5148821
aziz bhatti town,house,used,2414,6,5,28,4.07,1.17,91185025
aziz bhatti town,flat,used,1819,2,4,28,3.06,0.96,46556492
satellite town,flat,new,5949,5,5,0,3.59,0.53,72672438
university road,plot,old,5618,6,5,17,1.41,0.63,77933667
university road,plot,used,5303,1,1,10,4.46,0.72,87117047
satellite town,flat,new,4146,5,4,16,4.76,0.68,57436984
satellite town,plot,new,5906,6,5,3,3.81,1.14,163076329
satellite town,flat,old,2003,4,4,6,1.94,0.81,25782390
university road,house,old,1874,4,5,18,1.91,0.42,16019678
aziz bhatti town,flat,used,3352,3,3,5,4.98,0.51,52349595
satellite town,house,old,3980,3,2,31,2.38,1.15,60767790
wapda town,plot,used,1763,5,2,30,4.63,0.44,11987779
satellite town,house,used,4190,4,4,20,4.76,1.07,77844836
model town,flat,used,3518,3,4,21,2.91,1.15,62006368
satellite town,plot,new,5653,4,5,32,3.57,0.41,45087883
university road,plot,used,4695,6,5,23,4.19,0.94,115403272
satellite town,flat,used,3082,6,5,15,3.17,0.87,54922656
model town,plot,used,5671,2,4,7,4.85,1.16,114663281
wapda town,flat,new,4147,1,5,17,2.94,0.76,51960873
aziz bhatti town,house,old,3722,1,2,25,3.6,0.65,55468065
satellite town,house,used,1673,5,5,14,1.73,1.12,35458410
model town,plot,new,4111,5,5,22,1.48,0.58,44716960
model town,flat,old,2710,1,3,29,4.6,0.57,21539194
wapda town,flat,new,1729,1,3,26,1.25,0.5,12925340
university road,house,used,3799,1,1,17,1.05,1.19,87451226
satellite town,house,new,736,5,4,26,2.2,0.96,13552592
model town,plot,new,1532,6,1,21,1.29,0.45,12342510
wapda town,flat,old,3885,2,5,3,1.21,0.93,51877427
aziz bhatti town,plot,old,5257,6,2,17,1.46,1.02,134278215
model town,plot,new,4814,4,4,28,2.74,0.82,70860573
wapda town,plot,used,5699,1,4,15,4.34,0.93,85220567
university road,flat,new,5169,6,4,12,1.34,0.89,133018934
university road,house,new,764,6,5,11,4.84,0.66,16293316
model town,flat,old,2514,5,1,34,4.12,0.93,34433507
model town,flat,old,946,5,2,8,4.79,0.64,9842660
satellite town,flat,old,4340,3,5,23,2.72,0.48,30395116
wapda town,plot,old,5302,5,3,20,2.69,0.66,47900918
model town,plot,old,3732,5,4,23,4.21,0.68,39700407
satellite town,flat,used,5428,3,1,33,2.83,0.77,62327249
satellite town,plot,used,3629,2,3,34,4.47,0.84,48657820
model town,plot,new,1310,1,2,17,1.61,0.41,8428014
university road,house,old,4752,1,4,24,4.93,0.51,49057263
wapda town,flat,old,1568,4,1,9,1.64,0.8,16861243
wapda town,flat,new,1066,1,3,4,2.02,0.75,13771167
university road,plot,old,2618,4,2,1,4.5,0.95,55822200
model town,flat,new,4634,5,1,10,2.44,0.99,87832035
wapda town,flat,used,5719,6,4,22,1.47,1.13,102657650
model town,flat,used,4674,1,4,11,4.9,1.2,97874962
model town,flat,used,5729,2,2,10,2.4,0.72,64038762
satellite town,plot,used,912,5,3,15,1.77,0.42,6856247
university road,house,new,5346,4,2,1,3.85,0.53,77957089
model town,plot,old,5939,3,1,31,2.88,1.15,88813593
aziz bhatti town,house,new,1703,4,5,10,2.66,0.82,48472446
university road,flat,old,3466,6,5,30,1.83,1.13,87136549
wapda town,flat,new,5376,1,3,33,4.77,0.94,82162714
satellite town,flat,used,4860,6,1,29,2.81,0.97,80806360
wapda town,flat,used,4181,4,1,2,4.59,0.55,38310728
wapda town,flat,used,5879,1,1,30,3.26,0.91,72799805
university road,flat,used,4727,6,1,25,2.63,0.91,99466852
wapda town,flat,new,4127,2,1,19,3.38,0.47,29646072
model town,house,used,1882,1,4,18,2.39,0.65,18516263
wapda town,plot,old,1367,6,1,24,1.58,1.15,21260556
satellite town,flat,old,4156,3,2,11,3.69,1.02,63112601
satellite town,flat,used,5157,3,1,16,3.44,0.57,44474072
aziz bhatti town,flat,old,3901,2,1,8,3.11,1.06,101864515
satellite town,house,new,986,5,2,34,4.9,1.16,22053100
wapda town,flat,new,1116,1,4,8,1.68,0.83,15657238
satellite town,plot,new,1824,3,5,30,2.72,0.81,26826141
university road,house,new,860,1,5,6,2.32,0.55,12526371
satellite town,house,new,5374,1,1,20,3.6,0.77,70384259
model town,flat,used,3605,5,3,22,3.32,0.59,35184545
university road,house,used,1926,5,4,5,4.47,0.47,25051571
aziz bhatti town,flat,old,3494,5,3,17,4.07,1.06,97269624
model town,plot,new,3401,1,1,28,4.48,0.88,50282395
wapda town,plot,used,4490,3,3,4,3.39,0.87,62082274
wapda town,house,old,2477,6,3,29,3.12,1.19,42618167
wapda town,house,used,2870,2,4,1,3.51,0.72,33893213
model town,flat,new,4524,1,3,14,2.61,0.94,76548146
model town,house,new,3228,5,1,12,4.93,0.69,45204929
model town,plot,old,4855,3,5,5,4.9,0.94,76650540
university road,house,used,1393,3,2,11,4.1,0.93,29313699
university road,plot,old,3986,2,5,19,2.04,0.4,31004217
wapda town,flat,old,3255,3,3,5,3.6,1.03,48192442
satellite town,plot,new,679,3,2,24,3.91,0.49,5700355
wapda town,house,new,3063,4,5,9,2.25,0.99,56118752
aziz bhatti town,plot,old,3571,3,4,22,3.26,1.05,90397870
university road,plot,new,2906,3,1,26,1.2,1.18,74570803
model town,house,new,1323,4,3,1,3.75,0.67,17901108
university road,flat,used,1888,5,1,15,2.59,1.04,47160265
model town,plot,old,1097,5,2,13,3.73,0.86,14965954
aziz bhatti town,house,new,4940,6,4,5,4.59,0.49,97381917
aziz bhatti town,plot,new,4872,4,4,1,4.05,0.63,111347601
university road,plot,new,1388,1,1,21,3.83,0.54,17365866
model town,plot,new,3234,6,4,0,4.01,1.12,82949508
aziz bhatti town,flat,new,3250,2,3,10,3.2,0.84,86386067
wapda town,plot,new,1026,5,4,5,2.9,0.49,10013258
wapda town,house,old,2260,5,5,25,2.81,0.9,29549400
model town,house,used,3737,3,1,27,4.71,0.59,33248726
university road,plot,used,4989,1,4,32,2.42,0.91,96275988
aziz bhatti town,flat,old,1611,4,4,4,3.89,0.54,25265605
university road,house,new,1428,2,3,8,2.45,0.86,30829447
wapda town,flat,new,1078,6,1,25,4.51,0.77,14978568
aziz bhatti town,flat,old,2464,5,5,23,4.02,0.62,42409746
university road,house,new,4397,6,3,27,2.62,0.52,60976445
satellite town,house,used,5054,1,3,33,4.96,1.06,86475990
model town,flat,used,5676,3,4,0,2.04,0.43,41408420
model town,plot,old,1140,2,2,16,1.08,0.76,10782209
satellite town,flat,new,5886,1,1,5,2.68,0.8,88585170
wapda town,house,new,1465,5,4,15,2.83,0.52,14565099
aziz bhatti town,flat,new,5391,3,3,20,1.31,1.12,167902276
model town,house,new,3030,2,5,18,2.93,0.45,24079286
satellite town,plot,used,1817,4,5,4,3.26,0.63,22312375
satellite town,plot,used,2735,3,4,17,2.61,0.72,30963706
wapda town,plot,new,5131,4,3,15,2.78,1.02,92700742
wapda town,plot,old,5886,6,3,6,2.3,0.86,78003552
university road,plot,old,3460,3,1,3,3.67,0.54,39176682
model town,house,used,2510,5,3,9,1.59,1.0,43286647
university road,flat,old,2559,5,5,23,1.75,0.78,42393700
satellite town,plot,used,3049,6,5,21,3.61,0.82,47606547
aziz bhatti town,house,used,2555,1,5,14,2.93,1.16,88046806
aziz bhatti town,flat,old,5177,5,2,34,4.81,0.45,60422725
wapda town,flat,new,5613,6,1,21,3.29,0.66,64975315
aziz bhatti town,plot,new,5598,3,2,25,2.89,0.51,80100022
aziz bhatti town,plot,used,4789,3,5,33,2.71,0.68,88536351
aziz bhatti town,flat,new,5637,3,2,17,3.25,0.98,156321973
satellite town,flat,used,2119,5,4,7,1.32,0.58,22389775
aziz bhatti town,house,new,5631,5,1,22,4.08,0.42,75062392
aziz bhatti town,plot,used,2064,6,2,11,4.58,0.45,30256635
aziz bhatti town,flat,old,4252,2,1,13,3.05,0.98,102504090
university road,flat,new,4599,3,3,27,4.95,0.7,78835659
satellite town,plot,used,2219,2,4,23,1.31,0.95,32111389
wapda town,house,old,4183,6,4,29,3.5,0.55,34541530
university road,house,old,5031,3,1,11,4.34,1.15,118479408
model town,plot,old,2005,5,2,33,2.44,0.54,15324353
satellite town,house,old,5697,1,2,30,3.19,0.84,64779422
satellite town,house,new,2694,3,5,17,1.27,0.44,20774756
model town,house,new,2804,3,5,26,4.17,0.62,31609335
model town,flat,new,3100,4,1,14,3.32,0.63,36449073
model town,flat,new,2268,6,4,14,1.67,0.66,31168374
wapda town,house,used,1692,5,1,29,2.11,0.43,10594119
aziz bhatti town,plot,old,4091,2,2,11,1.05,1.06,101600005
satellite town,plot,used,1447,6,3,31,2.37,1.06,26795046
aziz bhatti town,plot,used,2054,6,1,5,1.79,1.14,74251209
aziz bhatti town,house,new,5526,3,4,20,3.56,0.54,90163618
model town,plot,old,2358,3,2,7,2.72,0.64,21249164
wapda town,flat,old,1931,4,3,14,2.3,0.66,17931364
university road,plot,old,4508,2,5,20,3.17,0.9,81067383
wapda town,plot,used,3055,1,3,0,2.63,1.01,48159016
aziz bhatti town,flat,new,5428,4,5,15,3.53,1.16,223120968
wapda town,flat,used,5749,2,3,3,4.5,0.43,40317039
model town,house,new,3325,6,4,17,2.76,0.93,60824130
university road,house,used,2724,3,3,11,3.59,0.48,30112894
model town,house,new,5944,3,5,6,4.23,0.41,48230712
university road,house,old,2079,5,2,9,3.94,1.01,46863249
aziz bhatti town,house,used,2557,4,5,29,2.82,0.91,66599831
university road,flat,new,1931,4,4,31,1.78,1.1,52153384
university road,flat,old,4450,1,3,10,2.63,0.67,60406025
university road,flat,old,2234,2,2,20,4.94,0.93,39684033
wapda town,plot,new,5514,5,4,24,4.31,0.94,94396359
wapda town,plot,old,5528,4,3,4,4.54,0.57,48607326
aziz bhatti town,plot,old,5253,1,3,1,2.72,0.64,87893772
university road,house,used,4713,2,1,33,2.7,1.13,107265254
satellite town,plot,used,5515,1,4,34,2.98,0.52,45494269
aziz bhatti town,house,new,4084,2,1,6,2.42,0.47,57879539
university road,house,new,5296,2,4,3,3.03,0.44,63485796
university road,house,new,3402,2,3,0,2.43,0.7,62143423
wapda town,house,old,2392,1,3,34,3.88,1.05,32147030
aziz bhatti town,plot,new,5341,5,2,34,1.69,0.52,83257909
university road,flat,used,2920,3,3,27,1.25,1.0,58469999
university road,house,old,3795,5,1,14,3.57,0.5,41983624
aziz bhatti town,plot,used,4192,3,1,34,1.48,1.14,115682539
satellite town,house,used,2511,1,2,0,1.55,0.44,18054908
aziz bhatti town,house,used,1688,4,4,15,4.65,1.19,63432550
aziz bhatti town,flat,old,2406,3,3,19,1.53,0.63,34056004
satellite town,house,new,2024,4,1,24,4.76,1.03,38246517
aziz bhatti town,flat,new,2959,3,5,23,3.56,0.9,82743673
university road,plot,used,3799,6,2,11,3.33,0.63,61166728
aziz bhatti town,house,old,1609,3,5,0,4.3,0.81,37423522
satellite town,flat,old,2313,2,2,1,4.9,0.76,27989897
model town,house,used,5912,6,5,24,2.4,0.95,100554568
aziz bhatti town,house,new,5618,3,4,8,4.47,0.47,88574044
wapda town,house,old,2717,3,1,14,3.47,0.81,29442011
university road,flat,new,4331,3,5,0,1.59,0.44,51558120
university road,plot,new,3612,6,1,34,1.39,1.11,100741303
wapda town,flat,old,5157,5,2,6,1.15,0.62,44481314
wapda town,plot,new,5140,2,3,9,3.31,0.5,43903529
aziz bhatti town,flat,old,886,5,1,12,2.1,0.69,16168628
wapda town,flat,used,849,5,2,4,4.05,0.53,7756231
model town,plot,old,5962,6,5,15,3.1,0.7,74331042
satellite town,plot,new,5225,1,3,0,1.38,1.16,113781300
wapda town,plot,new,4542,2,1,20,4.52,0.62,44197896
wapda town,flat,new,4125,4,3,27,4.52,1.08,75620059
model town,plot,used,5498,6,1,34,3.83,0.88,82215256
university road,house,used,5117,2,5,34,2.23,0.9,99964290
university road,house,new,3290,2,3,29,2.97,0.79,60780509
aziz bhatti town,house,used,3956,6,1,6,3.5,0.76,95514653
model town,house,old,779,2,1,4,4.06,0.65,7653004
satellite town,plot,old,5009,6,4,8,3.45,0.89,80451964
satellite town,plot,new,827,2,3,2,1.0,0.6,9227351
model town,house,old,2112,2,5,12,2.75,0.97,31464613
satellite town,plot,new,2092,4,2,16,4.82,0.6,23059620
university road,house,used,4305,1,2,21,3.32,0.71,62477593
satellite town,flat,new,2111,5,1,20,1.18,0.64,23842312
satellite town,plot,new,5189,1,1,15,3.58,1.03,98768005
model town,flat,used,655,5,3,10,4.24,0.96,11552058
model town,plot,used,4315,2,3,24,4.86,0.5,33626042
satellite town,plot,old,5776,3,3,24,4.19,0.72,59358395
wapda town,plot,new,978,5,5,32,4.19,0.56,10228293
model town,flat,new,4540,6,4,13,1.79,1.12,106189255
aziz bhatti town,flat,old,2200,5,4,4,3.47,1.19,78875052
aziz bhatti town,house,new,5958,5,3,26,3.83,0.79,152976521
university road,flat,used,4198,5,3,32,1.9,0.91,85503555
satellite town,flat,new,609,4,5,12,1.56,0.98,12023941
wapda town,house,used,3179,2,4,25,2.15,0.95,42417562
university road,flat,used,956,4,2,26,1.63,0.94,18516930
satellite town,flat,used,3268,5,4,0,3.67,0.93,60938426
model town,house,used,4278,3,3,13,2.68,1.02,70248516
aziz bhatti town,flat,new,4180,6,3,3,1.33,0.4,60473384
wapda town,house,old,2559,1,3,15,1.3,1.16,38813347
aziz bhatti town,plot,used,3261,3,4,17,4.95,0.64,58142901
model town,plot,old,5220,6,1,1,1.39,1.1,93614257
satellite town,flat,old,3792,4,5,21,1.55,1.19,67192993
model town,plot,used,5975,1,3,31,1.2,1.03,87913892
model town,flat,used,3123,1,2,23,3.05,0.6,27183685
aziz bhatti town,house,old,4468,1,1,27,4.13,0.67,69488209
wapda town,house,old,3283,4,5,15,4.27,0.62,31752345
model town,house,new,1595,3,1,11,2.63,0.8,22310349
aziz bhatti town,plot,used,3992,6,4,17,3.93,0.67,83701089
wapda town,house,new,1483,6,2,15,4.84,0.67,19636785
satellite town,house,used,1489,6,5,5,4.28,0.69,22462620
satellite town,flat,old,1326,4,5,9,3.86,0.96,21776944
university road,flat,old,5488,1,5,5,4.08,0.47,59518133
aziz bhatti town,flat,old,2493,4,4,24,3.88,0.48,30736693
wapda town,flat,old,3346,6,1,11,3.33,0.97,49768475
model town,house,new,5514,1,3,25,2.14,0.89,80351760
satellite town,flat,old,979,6,1,20,4.78,0.56,8856178
wapda town,plot,new,4776,5,1,26,1.56,1.04,79921234
aziz bhatti town,plot,old,3999,4,5,3,1.76,0.68,77179061
university road,plot,new,986,3,5,15,3.18,0.65,17326094
satellite town,flat,used,1558,2,2,2,2.09,0.47,12125691
wapda town,house,used,1824,2,5,27,1.58,0.47,12210040
wapda town,flat,new,706,5,3,24,3.51,1.04,12753604
wapda town,plot,new,2493,4,2,7,1.56,0.86,35792665
aziz bhatti town,flat,used,3187,3,3,33,2.85,0.88,72293392
aziz bhatti town,plot,used,5202,6,1,19,2.59,1.18,175565953
aziz bhatti town,house,old,4740,3,4,1,1.23,0.48,59028898
model town,house,used,2299,6,3,29,2.69,0.93,36425705
wapda town,house,old,5746,5,3,5,3.08,0.79,70899348
satellite town,house,new,3819,4,4,17,2.49,0.94,66190196
aziz bhatti town,house,used,2454,4,2,22,1.67,0.44,27573499
aziz bhatti town,flat,old,5863,3,3,9,3.84,0.76,115020708
wapda town,house,used,4535,3,2,34,4.6,0.58,36927307
aziz bhatti town,flat,used,4601,6,5,18,4.03,0.4,59362077
model town,plot,new,5609,1,1,19,4.24,0.9,84343331
model town,plot,new,3098,3,4,16,2.01,1.06,55159463
aziz bhatti town,house,new,4002,4,2,15,3.35,0.81,104938824
wapda town,flat,new,2352,1,3,5,2.06,0.92,37307892
wapda town,house,used,1512,2,3,10,3.07,0.64,14676062
wapda town,plot,old,1923,6,4,12,1.65,0.65,19510457
university road,flat,new,5433,3,5,25,3.41,1.12,152166009
aziz bhatti town,plot,used,1579,5,5,7,2.23,0.93,47185759
wapda town,flat,used,4392,5,5,23,2.85,0.41,29094889
model town,plot,new,5466,5,1,7,1.97,0.85,87942031
satellite town,house,new,1496,6,2,7,3.2,0.71,22371235
satellite town,house,used,947,3,2,7,3.08,0.87,13434350
wapda town,house,new,829,4,5,23,2.37,0.57,8068719
satellite town,plot,used,4304,3,3,27,2.25,0.67,43678506
satellite town,plot,used,1053,2,1,19,1.34,1.18,17869228
university road,plot,new,5293,2,1,4,2.22,1.01,134754079
model town,house,used,4752,2,2,25,2.68,0.94,64231947
model town,plot,new,859,3,3,1,3.7,0.49,8086060
university road,plot,old,1348,3,3,26,1.15,0.79,19143855
university road,house,old,5473,2,3,18,1.27,0.5,49340545
satellite town,plot,used,4680,4,3,0,3.11,0.66,56690018
aziz bhatti town,flat,used,4289,1,2,8,2.2,0.65,74658623
satellite town,plot,new,2855,3,3,27,1.21,1.18,55710489
university road,house,new,3918,2,5,25,4.62,0.52,52401665
model town,flat,new,5344,6,5,2,2.14,1.2,144450467
satellite town,house,used,5454,1,2,4,2.35,0.98,89068014
aziz bhatti town,house,used,2353,3,3,22,3.55,0.64,39467523
satellite town,house,new,734,5,1,12,1.19,0.84,11829755
wapda town,flat,new,3943,1,1,1,3.81,0.49,33719994
satellite town,flat,used,3417,5,4,7,2.52,1.01,64743169
university road,house,old,5683,2,5,8,4.84,0.72,92386605
model town,plot,used,677,1,5,13,2.79,1.13,13067642
model town,flat,old,2335,6,4,20,4.0,0.75,28502431
university road,house,used,4066,6,4,24,1.58,0.52,50516539
wapda town,plot,old,5112,1,4,14,2.05,0.46,32231332
university road,house,used,1363,2,5,0,4.7,0.6,21269030
satellite town,flat,new,5701,4,1,28,3.89,1.16,118913710
university road,flat,old,2572,6,1,10,2.91,1.09,63843219
university road,plot,old,1203,2,2,22,3.59,0.98,21826745
wapda town,flat,old,1391,4,4,20,3.45,1.12,21331254
satellite town,house,used,3311,1,4,24,3.98,1.05,56465124
aziz bhatti town,house,used,1018,3,4,26,1.42,0.71,18518656
aziz bhatti town,plot,used,1096,6,3,27,1.13,1.09,33958027
model town,plot,old,4446,4,1,25,1.15,0.93,54123872
university road,plot,new,2136,1,1,1,4.28,1.0,56532626
model town,plot,used,5450,5,2,31,3.26,1.16,101390149
wapda town,house,old,2699,4,2,3,3.26,0.81,31779758
aziz bhatti town,house,new,5149,1,4,23,1.59,0.66,97928916
university road,house,used,2369,1,3,5,3.0,1.15,64349038
wapda town,house,old,4989,1,3,12,2.29,1.12,74855581
wapda town,plot,old,2867,5,5,28,2.31,0.79,32510791
university road,flat,used,1482,3,5,32,4.18,0.92,30995046
wapda town,house,old,5946,6,2,28,3.43,0.42,35313718
university road,flat,new,5865,5,3,12,1.96,0.47,75219953
university road,plot,new,4240,4,5,18,3.3,1.11,123256591
satellite town,plot,new,4178,1,4,6,2.16,1.1,87022605
model town,flat,new,3472,1,1,1,3.82,0.83,53899793
wapda town,plot,used,3209,5,5,20,1.47,1.06,53147622
wapda town,flat,old,3681,1,3,32,4.03,0.44,20802974
satellite town,house,used,2694,3,4,14,3.86,1.15,54541260
satellite town,plot,old,743,2,4,32,3.19,0.94,10021531
satellite town,plot,old,1951,3,4,10,3.89,0.82,25365723
aziz bhatti town,flat,new,4260,1,5,1,1.34,0.62,87928243
aziz bhatti town,flat,new,1421,3,1,23,1.02,0.8,30470554
aziz bhatti town,flat,old,1170,1,4,22,2.67,0.65,18078911
university road,flat,used,4739,6,3,3,4.39,0.54,71812132
wapda town,flat,new,3207,2,3,11,3.65,0.83,45837337
model town,plot,new,4934,6,4,31,3.85,0.46,45808769
university road,flat,used,1314,1,3,1,4.53,1.13,36348989
wapda town,house,old,5004,5,1,26,4.82,1.19,83181682
wapda town,flat,used,4852,3,2,25,4.67,0.73,49806120
satellite town,plot,new,2990,2,4,3,1.33,0.85,49039639
satellite town,house,old,1931,4,1,19,1.33,1.12,29384605
university road,plot,old,3708,1,1,18,1.33,0.92,59806090
satellite town,flat,old,2092,2,3,29,3.91,0.79,23436165
wapda town,plot,new,825,3,3,4,1.48,0.46,6450730
satellite town,plot,new,3961,1,2,24,1.15,0.5,31749577
aziz bhatti town,flat,used,5736,1,3,25,4.0,0.8,121536295
satellite town,plot,old,4232,3,2,8,4.69,0.62,39979154
wapda town,plot,new,2121,6,3,20,1.08,0.45,16341422
university road,plot,new,1636,6,5,28,4.27,0.48,23040978
model town,house,old,5964,2,2,13,2.91,0.87,73391932
satellite town,plot,used,2344,3,5,14,2.47,1.19,48858126
wapda town,flat,used,3119,6,4,32,3.78,0.9,47136598
model town,flat,old,3624,6,1,28,4.8,0.53,30039839
model town,plot,used,2215,3,1,22,4.1,0.9,29642348
aziz bhatti town,flat,old,3377,1,4,22,2.83,1.14,91869919
model town,house,new,5666,1,3,32,4.32,1.1,107456340
wapda town,flat,new,2121,5,1,21,3.61,0.6,21511467
wapda town,flat,new,3766,3,5,27,4.57,1.16,74821473
satellite town,plot,used,2301,2,4,3,3.63,0.93,38969587
satellite town,house,used,1115,5,1,22,1.83,0.96,17138693
satellite town,house,used,2809,6,3,14,3.46,0.69,37773531
model town,flat,used,3077,6,5,12,2.18,0.66,39310935
model town,flat,old,2902,2,4,10,1.49,1.15,48341783
aziz bhatti town,plot,used,3566,2,3,17,1.22,0.6,53004539
satellite town,plot,used,2568,3,2,17,3.19,1.11,42873314
university road,house,used,3305,4,1,23,1.11,0.53,35631690
aziz bhatti town,plot,used,1917,3,1,16,2.72,1.18,56435139
university road,house,used,1655,5,5,2,2.46,0.57,25604363
model town,house,old,3399,3,1,7,1.77,0.61,28529587
aziz bhatti town,flat,new,3784,3,2,24,3.38,0.79,84851276
aziz bhatti town,house,used,2710,1,4,18,3.47,0.99,72226038
wapda town,house,new,3524,4,2,2,3.49,1.01,64737020
model town,house,used,2259,6,2,19,4.27,0.74,28698009
model town,house,used,1658,2,5,6,2.07,0.48,13360054
aziz bhatti town,flat,old,1557,2,4,32,4.96,0.87,33971530
model town,plot,new,3918,1,1,18,4.6,0.65,42904356
aziz bhatti town,plot,old,5346,4,3,34,2.82,0.91,118419873
wapda town,house,new,5793,6,2,34,1.87,0.66,64807286
aziz bhatti town,plot,old,3187,1,1,19,3.32,1.05,76218555
model town,plot,old,1542,3,5,4,1.55,0.92,22008815
model town,house,new,4862,6,2,29,3.24,0.7,63881022
aziz bhatti town,house,old,4407,3,1,16,4.38,1.04,107006369
aziz bhatti town,plot,old,1228,6,2,0,4.67,0.68,25513939
aziz bhatti town,flat,used,4628,3,4,2,1.8,0.66,89299702
satellite town,plot,new,5022,6,5,16,2.89,1.19,125295630
model town,house,old,1246,5,2,11,4.87,0.62,12581830
model town,plot,new,1180,6,4,18,1.71,0.87,19685352
satellite town,plot,old,3210,2,5,22,2.33,1.1,51037766
